anuncio,valor_cop,tipo,city,Ciudad,Estado,area,Cuartos,bano,habitaciones
"Desde $ 844.272.000

Apartamento en Buenavista, Barranquilla, Atlantico

Unidades desde:

2 Habs.
3 Baños
83 m²
Lago Foret, Apartamento En Venta En Buenavista, Barranquilla

Lago Foret es el nuevo proyecto de apartamentos de Arquitectura y Concreto en el norte de Barranquilla. Lago Foret es un proyecto pensado para personas que forman una vida audaz e inteligente, que buscan un proyecto de vivienda que entrelace la naturaleza y la conexión con la ciudad. Lago Foret contará con tres (3) torres de apartamentos que se desarrollarán junto a una Reserva Forestal que resguardará un lago de color verde, todo esto con una ubicación central en el sector Buenavista en Barranquilla.

Contactar
Llamar
Whatsapp",844272000,Apartamento,Barranquilla,Buenavista,Atlantico,83,3,,2
"Desde $ 574.000.000

Apartamento en Conjunto residencial villa campestre, Barranquilla, Atlantico

Unidades desde:

3 Habs.
3 Baños
91.42 m²
Portorosso Apartamentos, Apartamento En Venta En Conjunto Residencial Villa Campestre,…ortorosso apartamentos, apartamento en venta en conjunto residencial villa campestre, barranquilla

PortoRosso apartamentos es un conjunto residencial ubicado en la Urbanización Altos de los Rosales, sobre la carrera 53 detrás del Colegio San José en un sector exclusivo y de gran desarrollo inmobiliario. Cerca de excelentes colegios y universidades, centros comerciales. PortoRosso está conformado por dos torres, de 80 apartamentos cada una, 4 aptos por torre, con sistema estructural tradicional, y fachada en ladrillo a la vista con áreas desde 91m2 hasta 134.02 mts con TRES habitaciones y excelentes acabados. Ubicados frente a un parque, con una espectacular vista a la Ciénega de Mallorquín y el Mar Caribe, parqueaderos cubiertos en sótanos, depósitos en piso de apartamentos, planta eléctrica suplencia total, recepción tipo Lobby, piscina de adultos y niños, parque Infantil, cancha polideportiva, BBQ, gimnasio, Solarium y mucho más.

Contactar
Llamar
Whatsapp",574000000,Apartamento,Barranquilla,Conjunto residencial villa campestre,Atlantico,91.42,3,,3
"Desde $ 804.760.000

Apartamento en Riomar, Barranquilla, Atlantico

Unidades desde:

2 Habs.
3 Baños
75.34 m²
Duventto, Apartamento En Venta En Riomar, Barranquilla

La vida en familia tiene muchas formas, y en Duventto las celebramos todas. Nuestros espacios están diseñados para quienes buscan tranquilidad, movimiento o la perfecta combinación de ambos.

Contactar
Llamar
Whatsapp",804760000,Apartamento,Barranquilla,Riomar,Atlantico,75.34,3,,2
"Desde $ 446.082.000

Apartamento en Santo domingo de guzman, Barranquilla, Atlantico
3 Habs.
2 Baños
74 m²
Dimaro, Apartamento En Venta En Santo Domingo De Guzman, Barranquilla

¡Dcto desde 17 Millones,Únicamente para proyectos y tipologías seleccionadas.! *Aplica TERMINOS Y CONDICIONES. Los sueños se hacen realidad en Miramar, gracias a Dimaro, un nuevo proyecto con áreas construidas entre los 74 m2 y los 85,3 m2. El urbanismo de este sector se desarrolla pensando en los deseos de las personas y todo eso que quieren vivir una vez que tomen la decisión de vivir en esta nueva Barranquilla..

Contactar
Llamar
Whatsapp",446082000,Apartamento,Barranquilla,Santo domingo de guzman,Atlantico,74,2,,3
"Desde $ 209.004.705

Apartamento en Ciudad Mallorquin, Barranquilla, Atlantico
2 Habs.
2 Baños
56.06 m²
Makani, Apartamento En Venta En Ciudad Mallorquín, Barranquilla

MAKANI es un proyecto VIS* con una ubicación privilegiada en Puerto Colombia, Barranquilla, conformado cada uno por 5 torres de 20 pisos un total de 872 apartamentos en todo el conjunto.

Contactar
Llamar
Whatsapp",209004705,Apartamento,Barranquilla,Ciudad Mallorquin,Atlantico,56.06,2,,2
"Desde $ 327.042.000

Apartamento en Boston, Barranquilla, Atlantico
3 Habs.
2 Baños
69.03 m²
La Plazuela, Apartamento En Venta En Boston, Barranquilla

¡Dcto desde 30 Millones,Únicamente para proyectos y tipologías seleccionadas.! *Aplica TERMINOS Y CONDICIONES. Un proyecto diseñado con las ventajas de tenerlo todo alrededor. 732 apartamentos construidos con características que encierran una distribución ideal, exclusivas zonas de bienestar y una torre con 732 parqueaderos privados y 146 estacionamientos para visitantes. Vías de acceso principales que favorecen tu movilidad: Calle 53 entre carrera 44 y 45. El proyecto está diseñado con las ventajas de tenerlo todo a su alrededor, cuenta con características que encierran una distribución ideal y exclusiva en todas sus zonas y espacios que brindan confort y bienestar para toda tu familia. Su zona social cuenta con gimnasio, juegos infantiles, piscina familiar, salón de eventos, zonas verdes, entre otras amenidades que te regalarán nuevas experiencias. Su ubicación es céntrica. Sitios de interés cercanos: – Homecenter – Plaza de la Paz – C.C. Portal del Prado – Colegio María Auxiliadora – Universidad Libre – Universidad Santo Tomás – Catedral Metropolitana María Reina de Barranquilla – Estación La Catedral de Transmetro

Contactar
Llamar
Whatsapp",327042000,Apartamento,Barranquilla,Boston,Atlantico,69.03,2,,3
"Desde $ 638.000.000

Apartamento en Conjunto residencial villa campestre, Barranquilla, Atlantico

Unidades desde:

3 Habs.
3 Baños
97.79 m²
Conjunto Residencial Delamar, Apartamento En Venta En Conjunto Residencial Villa Campestre,Conjunto Residencial Delamar, Apartamento En Venta En Conjunto Residencial Villa Campestr…onjunto residencial delamar, apartamento en venta en conjunto residencial villa campestre, barranquilla

DELAMAR es un proyecto con dos Etapas y dos Torres. A la fecha la torre 1 se encuentra construida con apartamentos para ENTREGA INMEDIATA. (desde 101 hasta 120m2) La segunda Etapa - Torre 2 se encuentra en fase final de construcción, la cual consta de 19 pisos y 90 Apartamentos, con áreas construidas aproximadas de 97 m2, 107 m2, 130 m2, y 134 m2. Todos los apartamentos cuentan con 3 habitaciones y parqueaderos en sótanos. Areas mayores con Alcoba y baño de servicio. Ubicado en la Urbanización Altos de los Rosales, Villa Campestre, frente gran parque con cancha multiple y cerca de centros comerciales, colegios, universidades, clinicas y todo lo necesario para suplir tus necesidades y las de tu familia. El Edificio cuenta con Planta Electrica de Suplencia total y excelentes acabados y amenidades para confort y comodidad.

Contactar
Llamar
Whatsapp",638000000,Apartamento,Barranquilla,Conjunto residencial villa campestre,Atlantico,97.79,3,,3
"Desde $ 685.406.000

Apartamento en Portal de Genovés, Barranquilla, Atlantico
3 Habs.
2 Baños
81.66 m²
Parkside, Apartamento En Venta En Portal De Genovés, Barranquilla

¡Dcto desde 17 Millones, Únicamente para proyectos y tipologías seleccionadas.! *Aplica TERMINOS Y CONDICIONES. Despierta cada mañana con una majestuosa vista al Parque Centro Internacional del Caribe, que se encuentra justo frente a tu nuevo hogar. Con acceso directo por la Vía 46, Parkside ofrece un diseño arquitectónico audaz y orgánico en el que sus fachadas curvas se integran armónicamente con el paisaje. Apartamentos con espacios colectivos ideales para compartir momentos especiales con tus seres queridos. Disfruta de dos piscinas recreativas, rodeadas de una zona húmeda con sauna, turco y elegantes vestidores, un coworking completamente equipado, y biblioteca. Relájate en su espectacular wine cellar, un espacio exclusivo diseñado por expertos, y mantente activo en el gimnasio, cancha de pádel, parque de calistenia, zona de TRX y yoga. Con pet place para tsu mascotas.

Contactar
Llamar
Whatsapp",685406000,Apartamento,Barranquilla,Portal de Genovés,Atlantico,81.66,2,,3
"Desde $ 658.633.727

Apartamento en Villa santos, Barranquilla, Atlantico

Unidades desde:

2 Habs.
3 Baños
93 m²
Sunset Boulevard Apartamentos, Apartamento En Venta En Villa Santos, Barranquilla

Sunset Boulevard es conjunto residencial al norte de Barranquilla en el sector Portal de Genovés para entrega inmediata, ubicado en zona campestre, sin tráfico y con fácil acceso a las Carrera 46 y la Carrera 51B, frente del mejor parque arborizado de Barranquilla, cercano a la Clínica Portoazul, CC Buenavista, CC Viva Barranquilla, Makro, etc. El edificio está compuesto por 2 torres, cada una con 3 ascensores, Lobby y cómodos parqueaderos. se destaca por su ubicación en una zona de alta valorización y crecimiento.

Contactar
Llamar
Whatsapp",658633727,Apartamento,Barranquilla,Villa santos,Atlantico,93,3,,2
"Desde $ 217.136.000

Apartamento en Comuna 1, Barranquilla, Atlantico

Unidades desde:

1 Hab
2 Baños
40.74 m²
Puerta Dorada Marisma, Apartamento En Venta En Comuna 1, Barranquilla

¡Dcto desde 3 Millones, Únicamente para proyectos y tipologías seleccionadas.! *Aplica TERMINOS Y CONDICIONES. Puerta Dorada es la NUEVA Barranquilla. Puerta Dorada se desarrolla en el área metropolitana de Barranquilla, en uno de los sectores de mayor proyección, crecimiento y valorización del Caribe Colombiano. Este lugar cuenta con un área de 60 hectáreas cuyo desarrollo urbanístico integrará 10.000 soluciones de vivienda social construidas, 4 parques, grandes zonas verdes y recreativas.

Contactar
Llamar
Whatsapp",217136000,Apartamento,Barranquilla,Comuna 1,Atlantico,40.74,2,,1
"Desde $ 450.727.800

Apartamento en El prado, Barranquilla, Atlantico

Unidades desde:

2 Habs.
2 Baños
69.39 m²
Acuarela Del Rio, Apartamento En Venta En El Prado, Barranquilla

Lanzamiento nueva torre. Acuarela del río Barranquilla, vive con todas las comodidades de un Club en tu propio conjunto con piscina, parque infantil, sauna y mucho más; ubicado en el sector de Bellavista, a solo 10 mins caminando del gran malecón, cerca al parque Cisneros, una zona de gran crecimiento de cara al río. Los inmuebles cuentan con salón comedor, cocina y zona de ropas, dos o tres alcobas, la principal con baño y vestier..

Contactar
Llamar
Whatsapp",450727800,Apartamento,Barranquilla,El prado,Atlantico,69.39,2,,2
"Desde $ 582.948.500

Apartamento en Buenavista, Barranquilla, Atlantico

Unidades desde:

2 Habs.
2 Baños
68.99 m²
River Palms, Apartamento En Venta En Buenavista, Barranquilla

Apartamentos en Buenavista, el mejor sector de Barranquilla. Una zona tranquila, con excelentes vías de acceso y con gran proyección urbanística; a 3 minutos de los Centros Comerciales Buenavista 1 y 2, Plaza del Parque y Mall Plaza. Rodeado de múltiples parques lineales y boulevar. Apartamentos de 2 o 3 habitaciones. Precio incluye acabados, parqueadero, cuarto útil.

Contactar
Llamar
Whatsapp",582948500,Apartamento,Barranquilla,Buenavista,Atlantico,68.99,2,,2
"Desde $ 380.440.000

Apartamento en Alameda del Rio, Barranquilla, Atlantico

Unidades desde:

3 Habs.
2 Baños
76.5 m²
Esmeralda, Apartamento En Venta En Alameda Del Rio, Barranquilla

Esmeralda es el nuevo proyecto de vivienda de Constructora Colpatria que ofrece una experiencia única de bienestar y comodidad en la ciudad de Barranquilla. Ubicado estratégicamente en una de las zonas más dinámicas y en crecimiento de la ciudad, Esmeralda cuenta con amplias áreas verdes, espacios deportivos y amplias zonas comunes para todas las familias barranquilleras. Con un diseño moderno y funcional, Esmeralda refleja la evolución de la ciudad y su cultura, brindando las mejores opciones de descanso, entretenimiento y alegría para todos. Descubre todo lo que Esmeralda tiene para ofrecerte y vive en un lugar donde la comodidad y el bienestar son una prioridad. Haz realidad tu sueño de vivir en un hogar rodeado de la naturaleza y de todas las opciones de entretenimiento y comercio que necesitas para vivir plenamente en la ciudad.

Contactar",380440000,Apartamento,Barranquilla,Alameda del Rio,Atlantico,76.5,2,,3
"Desde $ 434.778.000

Apartamento en Miramar, Barranquilla, Atlantico
3 Habs.
2 Baños
72.23 m²
Siena, Apartamento En Venta En Miramar, Barranquilla

Siena se encuentra estratégicamente ubicado en Miramar, el lugar donde se desarrolla la Barranquilla moderna. Aquí tu inversión crece mientras disfrutas increíbles zonas sociales, así como resulta muy práctico movilizarse a cualquier punto de la ciudad. Vías de acceso principales que favorecen tu movilidad: Avda. Olaya Herrera, calle 100, transversal 43A, 43B y prolongación de la carrera 43 que tendrá conexión con la circunvalar. Sitios de interés cercanos: – C.C. Buenavista – C.C. Miramar – Gimnasio Bodytech – Aeropuerto Ernesto Cortissoz – Servicio de Transmetro – Alkosto – Homecenter – Universidad Autónoma del Caribe

Contactar
Llamar
Whatsapp",434778000,Apartamento,Barranquilla,Miramar,Atlantico,72.23,2,,3
"Desde $ 372.998.415

Apartamento en Riomar, Barranquilla, Atlantico

Unidades desde:

1 Hab
1 Baño
57.52 m²
Missoni, Apartamento En Venta En Riomar, Barranquilla

Missoni es el proyecto de vivienda que ha llegado para ofrecerte un estilo de vida único, rodeado de lujo, confort y exclusividad. Cada apartamento ha sido diseñado con la máxima atención al detalle, con acabados de alta calidad y un estilo inspirado en la moda italiana de alta costura. En Missoni encontrarás el hogar que siempre amarás, con una ubicación privilegiada en la ciudad que te permitirá disfrutar de todo lo que necesitas al alcance de tu mano. Descubre nuestros exclusivos diseños de viviendas y vive en el lugar donde la comodidad y la exclusividad se fusionan para ofrecerte una experiencia de vida inolvidable.

Contactar
Llamar
Whatsapp",372998415,Apartamento,Barranquilla,Riomar,Atlantico,57.52,1,,1
"Desde $ 192.172.500

Apartamento en Ciudad Mallorquin, Barranquilla, Atlantico

Unidades desde:

2 Habs.
2 Baños
57.59 m²
Lanai, Apartamento En Venta En Ciudad Mallorquín, Barranquilla

Lanai, el proyecto ideal para ti, ubicado en Puerto Colombia, Barranquilla, a solo unos pasos del parque más grande de la ciudad. Conformado por 5 torres de 17 pisos y un total de 675 apartamentos, Lanai te ofrece la oportunidad de vivir en el hogar de tus sueños. Visítanos en nuestro punto de venta en el Edificio BC Empresarial, en la CRA 53 #110 esquina Local 2, diagonal a la EDS Terpel La Castellana, y descubre todo lo que Lanai tiene para ofrecerte. ¡No esperes más para ser parte de nuestro exclusivo proyecto!

Contactar
Llamar
Whatsapp",192172500,Apartamento,Barranquilla,Ciudad Mallorquin,Atlantico,57.59,2,,2
"Desde $ 449.000.000

Apartamento en Conjunto residencial villa campestre, Barranquilla, Atlantico

Unidades desde:

2 Habs.
2 Baños
76.86 m²
Artek Mar, Apartamento En Venta En Conjunto Residencial Villa Campestre, Barranquilla

¡Bienvenido a la Segunda Etapa del Proyecto Artek Mar! Ubicado en la exclusiva urbanización Altos de los Rosales (calle 2D N.22-100), este conjunto residencial ofrece ahora 240 apartamentos adicionales, sumando un total de 440 unidades junto a la etapa 1. - Apartamentos de 2 y 3 alcobas con áreas construidas desde 75.36 hasta 89.36 m². - Garajes privados en sótanos cubiertos con acceso directo y estacionamientos de visitantes en el primer piso. - Club House de 2 pisos con lobby y recepción de doble altura, 2 salones sociales, gimnasio, sala de cine (teatrino), salón de juegos, espacio para administración y Business center. - Zonas verdes con 2 piscinas, solarium, zonas húmedas, spa, sauna y turco, jardines, juegos infantiles, máquinas bio-saludables, cancha múltiple y espacios para recreación pasiva. - Planta eléctrica de suplencia total para todo el proyecto. ¡No pierdas la oportunidad de ser parte de esta increíble comunidad! Aprovecha nuestras facilidades de pago con 36 cuotas de cuota inicial desde enero de 2025. ¡Ven y descubre tu nuevo hogar en Artek Mar, donde el confort y la exclusividad se encuentran!

Contactar
Llamar
Whatsapp",449000000,Apartamento,Barranquilla,Conjunto residencial villa campestre,Atlantico,76.86,2,,2
"Desde $ 400.035.000

Apartamento en Miramar, Barranquilla, Atlantico
2 Habs.
2 Baños
56.79 m²
Riverbay, Apartamento En Venta En Miramar, Barranquilla

Comienza una vida llena de comodidad en Riverbay, la mejor opción para aquellos que buscan un estilo de vida exclusivo, moderno y vanguardista. Ubicado en el plan zonal Ríomar, sector Río Alto, al noroccidente de la ciudad de Barranquilla, hace parte de un gran desarrollo urbano que contempla actividades comerciales, residenciales, deportivas, recreativas e institucionales.

Contactar
Llamar
Whatsapp",400035000,Apartamento,Barranquilla,Miramar,Atlantico,56.79,2,,2
"Desde $ 139.646.000

Apartamento en Comuna 1, Barranquilla, Atlantico
2 Habs.
2 Baños
38.67 m²
Puerta Dorada Natura, Apartamento En Venta En Comuna 1, Barranquilla

Puerta Dorada Natura está en una zona de alta proyección en Barranquilla, rodeado de parques, vías amplias y cerca de centros comerciales, salud y transporte para una vida práctica y conectada.

Contactar
Llamar
Whatsapp",139646000,Apartamento,Barranquilla,Comuna 1,Atlantico,38.67,2,,2
"Desde $ 412.736.800

Apartamento en Riomar, Barranquilla, Atlantico

Unidades desde:

2 Habs.
2 Baños
64.99 m²
Moretti, Apartamento En Venta En Riomar, Barranquilla

Moretti es un proyecto de vivienda ubicado en el sector de Riomar, cuenta con una ubicación privilegiada dentro de la ciudad de Barranquilla. Nuestro proyecto te ofrece un estilo de vida único, rodeado de confort y exclusividad. Cada apartamento ha sido diseñado con acabados de alta calidad, y con la máxima atención al detalle. En Moretti encontrarás el hogar que siempre amaras, con espacios acogedores; cuenta con Portería-Administración, Salón y terraza de niños, Salón de juegos, Gimnasio, Coworking, Sala de Tv, Terraza BBQ, Piscina adultos y niños, y cubiertas transitables

Contactar
Llamar
Whatsapp",412736800,Apartamento,Barranquilla,Riomar,Atlantico,64.99,2,,2
"Desde $ 281.015.000

Apartamento en Santo domingo de guzman, Barranquilla, Atlantico
1 Hab
2 Baños
40.4 m²
Génova, Apartamento En Venta En Santo Domingo De Guzman, Barranquilla

¡Comodidad para toda la familia! Ubicado en Miramar, un sector con ubicación estratégica que se encuentra rodeado de parques con amplias zonas verdes y la calidez que se respira en la Puerta de Oro de Colombia por su clima y su gente. Un urbanismo característico desarrollado alrededor de la zona pensando en los que quieren vivir en la nueva Barranquilla. Cuenta con importantes vías que conectan Miramar con el resto de la ciudad. ¡Atrévete a soñarlo, la decisión se toma sola!.

Contactar
Llamar
Whatsapp",281015000,Apartamento,Barranquilla,Santo domingo de guzman,Atlantico,40.4,2,,1
"Desde $ 255.660.000

Apartamento en Veinte de julio, Barranquilla, Atlantico
2 Habs.
2 Baños
72.94 m²
Puerta Dorada La Bahia, Apartamento En Venta En Veinte De Julio, Barranquilla

Puerta Dorada se desarrolla en el área metropolitana de Barranquilla, en uno de los sectores de mayor proyección, crecimiento y valorización del Caribe Colombiano. Este lugar cuenta con un área de 60 hectáreas cuyo desarrollo urbanístico integrará 10.000 soluciones de vivienda social construidas, 4 parques, grandes zonas verdes y recreativas. Un lugar que se convertirá en la oportunidad insuperable para comprar vivienda. Puerta Dorada es la NUEVA Barranquilla. La Bahía, es un conjunto de apartamentos donde encontrarás áreas con todos aquellos beneficios que siempre soñaste para tu familia, múltiples ventajas por ubicación, movilidad y alternativas para complementar tu vida.

Contactar
Llamar
Whatsapp",255660000,Apartamento,Barranquilla,Veinte de julio,Atlantico,72.94,2,,2
"Desde $ 2.932.849.000

Apartamento en Riomar, Barranquilla, Atlantico

Unidades desde:

3 Habs.
4 Baños
270 m²
L Unique Apartamentos, Apartamento En Venta En Riomar, Barranquilla

Exclusivo proyecto de apartamentos con acabados de lujo en Riomar, Barranquilla. Proyecto con zonas recreativas para toda la familia. L'Unique es un proyecto de apartamentos en Riomar, Barranquilla, ubicado en una zona residencial perfecta para quienes aprecian el lujo y el confort, con alta especificación en acabados y hermosa vista. El proyecto está compuesto por 2 torres de 13 pisos con 2 apartamentos por piso, ambas con ascensor directo al apartamento. Se trata de lujosos apartamentos con vistas al río y al parque, equipados desde 3 alcobas, 1 alcoba de servicio, 4 baños, parqueadero privado y cuarto ultil o depósito, con áreas construidas de 270 m² y 305 m². Además, podrás disfrutar de piscina, sauna, turco, piscina de hidroterapia, parque infantil, zona BBQ, salón de yoga con vista al parque, salón social, terraza, gimnasio y zonas verdes. Gracias a su ubicación este proyecto también es una excelente opción de inversión. Visita nuestra sala de ventas, conoce los espacios, vive la experiencia del que puede ser tu nuevo hogar y recibe más información sobre el proyecto.

Contactar
Llamar
Whatsapp",2932849000,Apartamento,Barranquilla,Riomar,Atlantico,270,4,,3
"Desde $ 322.763.000

Apartamento en Miramar, Barranquilla, Atlantico
2 Habs.
2 Baños
57.4 m²
Napoli, Apartamento En Venta En Miramar, Barranquilla

Napoli se encuentra en el sector de Miramar, lugar donde se desarrolla la Barranquilla moderna. Con espacios dedicados al esparcimiento y entretenimiento. Su completo equipamiento comunal, zonas verdes, recreativas y zonas de servicios generales te brindan un concepto de vivienda competitiva y asequible dentro del sector. Disfrutarás tu hogar mientras crece tu inversión. Sus vías principales de acceso favorecen tu movilidad..

Contactar
Llamar
Whatsapp",322763000,Apartamento,Barranquilla,Miramar,Atlantico,57.4,2,,2
"Desde $ 232.740.000

Apartamento en Veinte de julio, Barranquilla, Atlantico

Unidades desde:

2 Habs.
2 Baños
68.92 m²
Puerta Dorada El Lago, Apartamento En Venta En Veinte De Julio, Barranquilla

El Lago es un proyecto de Vivienda de Interés Social (VIS) que hace parte de Ciudad Puerta Dorada, la nueva Barranquilla, ubicado sobre la Avenida Circunvalar con un completo desarrollo urbanístico. El Lago te brinda la oportunidad de compartir los mejores momentos con tu familia, por eso sus espacios están pensados para acoger cómodamente y que puedas disfrutar de unas zonas sociales completas, que incluyen juegos infantiles, piscinas para toda la familia y parqueadero comunal. Sin duda este proyecto con excelente ubicación es ideal para ti.

Contactar
Llamar
Whatsapp",232740000,Apartamento,Barranquilla,Veinte de julio,Atlantico,68.92,2,,2
"Desde $ 181.000.000

Apartamento en Ciudad Mallorquin, Barranquilla, Atlantico
2 Habs.
2 Baños
57.34 m²
Maui, Apartamento En Venta En Ciudad Mallorquín, Barranquilla

Ubicación estratégica, cerca a Colegios, universidades, clínicas y centros comerciales. Cerca a vías principales. Sector de alta valorización. Amenidades como piscina de adultos y niños, zona bbq, salón social, zona de juegos, zona coworking, cancha múltiple, gimnasio, kioskos.

Contactar
Llamar
Whatsapp",181000000,Apartamento,Barranquilla,Ciudad Mallorquin,Atlantico,57.34,2,,2
"Desde $ 436.200.000

Apartamento en Buenavista, Barranquilla, Atlantico

Unidades desde:

2 Habs.
2 Baños
69.5 m²
Vizcaina Aromanzza, Apartamento En Venta En Buenavista, Barranquilla

Vizcaína de Aromanzza es un proyecto de apartamentos en conjunto cerrado ubicado en Villa Carolina en Barranquilla. Disfruta en familia de piscina para adultos y niños, zona BBQ, coworking, gimnasio, salón social, Kids house y más. Pregunta por los excelentes acabados que hemos diseñado para ti. Encuentra apartamentos de 2 a 3 alcobas con parqueadero privado. Pregunta por las modernas y versátiles opciones de acabados que hemos diseñado para ti..

Contactar
Llamar
Whatsapp",436200000,Apartamento,Barranquilla,Buenavista,Atlantico,69.5,2,,2
"Desde $ 234.000.000

Apartamento en Alameda del Rio, Barranquilla, Atlantico

Unidades desde:

2 Habs.
1 Baño
50 m²
Ibis, Apartamento En Venta En Alameda Del Rio, Barranquilla

IBIS es un conjunto residencial de edificios destinado a vivienda VIS, se encuentra ubicado en Alameda del Rio en la ciudad de Barranquilla, Atlántico. El conjunto residencial Ibis está conformado por 53.000 m² construidos aproximadamente, cuenta con: Dieciseis (16) torres de doce (12) pisos cada una destinadas a vivienda, Zonas comunes: Portería, salón social y gimnasio (semidotado), servicios de piscinas y BBQ. El conjunto contará con 346 parqueaderos residentes comunales,77 parqueaderos de visitantes, 15 parqueaderos para motos y 45 para bicicletas. Como dotación en los espacios comunales tendrá portería de control vehicular y peatonal, cuarto de manejo de basuras, oficina de administración, espacio disponible para administración de la copropiedad, salón social, zonas de juegos infantiles, gimnasio semidotado, piscina de niños y de adutos, subestación électrica, planta de suplencia parcial para atención de zonas comunes, tanque de reserva de agua para atender las unidades de vivienda. Tendrá unidades de vivienda con áreas de 57m² y 51m2 aprox, dos habitaciones + espacio para la 3ra y 1 baño + espacio para 2do baño. Los apartamentos de menor área se entregarán con parqueadero común de uso exclusivo con asignación 1 a 1. Incluye plataforma de parqueaderos en semisótano.

Contactar
Llamar",234000000,Apartamento,Barranquilla,Alameda del Rio,Atlantico,50,1,,2
"Desde $ 476.300.000

Apartamento en Buenavista, Barranquilla, Atlantico

Unidades desde:

2 Habs.
2 Baños
62.5 m²
Castellana 51, Apartamento En Venta En Buenavista, Barranquilla

Bienvenido a Castellana 51, donde el lujo y la comodidad se fusionan en un escenario exclusivo para vivir momentos únicos e inspiradores. Descubre un hogar diseñado con esmero, ofreciendo una experiencia de vida sin igual. Sumérgete en nuestro exclusivo y sofisticado diseño arquitectónico que redefine la elegancia. Castellana 51 es más que un lugar para vivir; es un lienzo donde puedes crear recuerdos inolvidables. Cada detalle ha sido cuidadosamente concebido para elevar tu estilo de vida. Nuestras zonas sociales son el corazón de la experiencia Castellana 51. Celebra la vida en nuestras terrazas BBQ, mantente en forma en nuestro gimnasio dotado, relájate en las piscinas y jacuzzi, trabaja en nuestro moderno espacio de coworking y disfruta de una experiencia cinematográfica única en nuestra sala premium. Además, experimenta la emoción del fútbol en nuestra cancha sin medidas reglamentarias, diseñada para la diversión sin límites. La ubicación estratégica de Castellana 51 agrega un valor incomparable a tu vida diaria. Descubre la conveniencia de estar cerca de todo lo que necesitas, desde comercios hasta opciones de entretenimiento. Y para tu tranquilidad, nuestros apartamentos ofrecen parqueadero privado, balcón y depósito, proporcionando el espacio perfecto para cada aspecto de tu vida. Haz de Castellana 51 tu hogar y vive en un espacio donde cada día es una nueva oportunidad para disfrutar de la vida al máximo.

Contactar
Llamar
Whatsapp",476300000,Apartamento,Barranquilla,Buenavista,Atlantico,62.5,2,,2
"Desde $ 533.385.000

Apartamento en Miramar, Barranquilla, Atlantico
3 Habs.
3 Baños
97.27 m²
Bolonia, Apartamento En Venta En Miramar, Barranquilla

Bolonia está localizado en Miramar, lugar donde se desarrolla la Barranquilla moderna. Este complejo residencial te ofrece todas las comodidades y espacios para que tú y tu familia se den el lujo de vivir las experiencias más enriquecedoras. Sus zonas sociales cuentan con ciclo ruta, guardería, gimnasio, piscinas, sala de negocios, teatrino, turco, zona canica y otras amenidades que te brindarán grandes recuerdos con tu familia. Sitios de interés cercanos: – C.C. Buenavista – Gimnasio Bodytech – Servicio de Transmetro – Alkosto – C.C. Mirarmar – Homecenter – Universidad Autónoma del Caribe – Makro.

Contactar
Llamar
Whatsapp",533385000,Apartamento,Barranquilla,Miramar,Atlantico,97.27,3,,3
"Desde $ 801.420.000

Apartamento en El poblado, Barranquilla, Atlantico

Unidades desde:

3 Habs.
3 Baños
133.5 m²
Niza 92, Apartamento En Venta En El Poblado, Barranquilla

Niza 92 es un Proyecto Tipo Multifamiliar de 8 exclusivos apartamentos, en conjunto cerrado. Ubicado en el Norte de Barranquilla, barrio el Poblado. Sus diseños únicos de apartamentos van desde 2 alcobas hasta Tipo Dúplex de 3 alcobas. Todos con una excelente ventilación y asoleación. ZONA COMUNES:Portería,Salón Social,Terraza Tipo Roof Top,Backyard Social.,Parqueadero,Depósito

Contactar
Llamar
Whatsapp",801420000,Apartamento,Barranquilla,El poblado,Atlantico,133.5,3,,3
"Desde $ 182.000.000

Apartamento en Miramar, Barranquilla, Atlantico
2 Habs.
2 Baños
57.08 m²
Puerta Dorada Coralina, Apartamento En Venta En Miramar, Barranquilla

El proyecto Coralina se encuentra ubicado en el desarrollo urbanístico de Puerta Dorada. Es un conjunto de viviendas tipo VIS. Alrededor de un sector de gran desarrollo urbanístico con parques de cesión pública y vías de perfil generoso. Ideal para la comodidad, el confort y el disfrute de sus habitantes

Contactar
Llamar
Whatsapp",182000000,Apartamento,Barranquilla,Miramar,Atlantico,57.08,2,,2
"Desde $ 195.000.000

Apartamento en Siete de abril, Barranquilla, Atlantico

Unidades desde:

2 Habs.
2 Baños
58.76 m²
Ciudad Del Parque Tayrona I, Apartamento En Venta En Siete De Abril, Barranquilla

Se encuentra ubicado en el desarrollo urbanístico conocido como Ciudad del Parque, ubicado en el municipio de Soledad, Este es un sector de gran desarrollo urbano, con parques de cesión pública y vías de perfil amplio. Al frente del conjunto hay una importante área de cesión en la cual se desarrollará un gran parque con zonas verdes, cancha, áreas de recreación pasiva y activa y senderos peatonales. Como parte de la nueva Soledad, el sector cuenta con múltiples vías de acceso, cercano a varios espacios educativos y comerciales. Podrás disfrutar de ambientes naturales y cómodos espacios para el bienestar de tu familia

Contactar
Llamar
Whatsapp",195000000,Apartamento,Barranquilla,Siete de abril,Atlantico,58.76,2,,2
